id,overall_worklogs
675975,16740.63823531429
675972,16710.69357670087
675965,16702.59641748384
675961,16708.264126308306
675955,16711.928805555966
675952,16693.06399838319
675949,18319.914973549123
675938,16762.068742316387
675921,16704.75175727233
675919,16791.96252827357
675917,16713.144699511096
675915,16701.829295010324
675912,16732.488703827148
675910,16728.804735041154
675909,16791.160282029457
675906,16759.84843835504
675892,16747.86034583576
675887,16816.464436695263
675878,16892.258260591883
675873,16805.999977582695
675861,16785.109919434806
675857,16851.904228474054
675853,16805.48417605859
675850,16849.073982340244
675849,16789.30771511355
675847,16920.554213892687
675845,16785.27269891351
675843,16746.49574053452
675841,16785.813626716183
675838,16811.99457934192
675836,16805.151525561574
675834,16772.841736222374
675831,16789.639103609243
675825,16777.504820637892
721916,16784.90589084843
721915,16779.934875796
721914,16801.189729503094
721913,16741.472092615022
721912,24392.86835888385
721911,16766.52340622808
721910,16896.85922145983
721909,16813.87992282117
721908,16790.431134490726
721907,16790.78073454745
721906,16746.822201764324
721905,16806.541559342764
721904,16806.51604893859
721903,16833.06994116428
721902,16786.504390900278
721901,16771.096972946918
721899,16711.80726253983
721898,16720.5418877818
721897,16811.68515193055
721896,16832.693715473903
721895,16787.340005857295
721894,16827.051882202108
721893,16859.302690984227
721892,16748.831951208114
721890,16728.14586937464
721889,16771.321443209683
721888,16781.107677059917
721885,16770.400468037275
721884,16801.735934191685
721883,16756.932383096115
721882,16736.873196985438
721881,16910.548468759866
721877,16748.362353569075
721876,16824.504944740944
721875,16770.66312949406
721874,16811.461470882812
721873,16785.335909187805
721872,16745.596104510587
721871,16784.76284773263
721869,16833.248934804542
721868,16938.872413161338
721867,16783.145771305448
721865,16829.923057580112
721864,16747.119129865707
721862,16813.81215994021
721861,16824.215591497807
721860,16781.74644716044
721859,16776.38272705739
721858,16865.346423497387
721857,16711.44078715273
721856,16900.0225963485
721855,16801.417171912584
721851,16719.124800919788
721850,16845.329082563527
721849,16773.636703388165
721848,16765.92876372229
721846,16793.125189918068
721845,16797.740170044894
721844,16788.402911795572
721843,16743.16436538033
721842,16827.36771170704
721841,16715.321478267568
721839,16831.99953275529
721838,16873.169323977912
721837,16795.983864320584
721836,16768.616718538255
721835,16755.980504911626
721834,16777.934857328593
